date,week,name,predicted_tempreature
2020-10-01,40,Charlottenburg-Wilmersdorf,14.0
2020-10-02,40,Charlottenburg-Wilmersdorf,13.8
2020-10-03,40,Charlottenburg-Wilmersdorf,13.57
2020-10-04,40,Charlottenburg-Wilmersdorf,13.48
2020-10-05,41,Charlottenburg-Wilmersdorf,13.4
2020-10-06,41,Charlottenburg-Wilmersdorf,13.22
2020-10-07,41,Charlottenburg-Wilmersdorf,13.02
2020-10-08,41,Charlottenburg-Wilmersdorf,12.84
2020-10-09,41,Charlottenburg-Wilmersdorf,12.63
2020-10-10,41,Charlottenburg-Wilmersdorf,12.38
2020-10-11,41,Charlottenburg-Wilmersdorf,12.29
2020-10-12,42,Charlottenburg-Wilmersdorf,12.2
2020-10-13,42,Charlottenburg-Wilmersdorf,12.02
2020-10-14,42,Charlottenburg-Wilmersdorf,11.82
2020-10-15,42,Charlottenburg-Wilmersdorf,11.64
2020-10-16,42,Charlottenburg-Wilmersdorf,11.43
2020-10-17,42,Charlottenburg-Wilmersdorf,11.19
2020-10-18,42,Charlottenburg-Wilmersdorf,11.1
2020-10-19,43,Charlottenburg-Wilmersdorf,11.02
2020-10-20,43,Charlottenburg-Wilmersdorf,10.85
2020-10-21,43,Charlottenburg-Wilmersdorf,10.66
2020-10-22,43,Charlottenburg-Wilmersdorf,10.48
2020-10-23,43,Charlottenburg-Wilmersdorf,10.29
2020-10-24,43,Charlottenburg-Wilmersdorf,10.06
2020-10-25,43,Charlottenburg-Wilmersdorf,9.98
2020-10-26,44,Charlottenburg-Wilmersdorf,9.9
2020-10-27,44,Charlottenburg-Wilmersdorf,9.74
2020-10-28,44,Charlottenburg-Wilmersdorf,9.56
2020-10-29,44,Charlottenburg-Wilmersdorf,9.39
2020-10-30,44,Charlottenburg-Wilmersdorf,9.2
2020-10-31,44,Charlottenburg-Wilmersdorf,8.98
2020-11-01,44,Charlottenburg-Wilmersdorf,8.9
2020-11-02,45,Charlottenburg-Wilmersdorf,8.83
2020-11-03,45,Charlottenburg-Wilmersdorf,8.66
2020-11-04,45,Charlottenburg-Wilmersdorf,8.48
2020-11-05,45,Charlottenburg-Wilmersdorf,8.31
2020-11-06,45,Charlottenburg-Wilmersdorf,8.11
2020-11-07,45,Charlottenburg-Wilmersdorf,7.87
2020-11-08,45,Charlottenburg-Wilmersdorf,7.79
2020-11-09,46,Charlottenburg-Wilmersdorf,7.7
2020-11-10,46,Charlottenburg-Wilmersdorf,7.53
2020-11-11,46,Charlottenburg-Wilmersdorf,7.33
2020-11-12,46,Charlottenburg-Wilmersdorf,7.15
2020-11-13,46,Charlottenburg-Wilmersdorf,6.94
2020-11-14,46,Charlottenburg-Wilmersdorf,6.7
2020-11-15,46,Charlottenburg-Wilmersdorf,6.6
2020-11-16,47,Charlottenburg-Wilmersdorf,6.52
2020-11-17,47,Charlottenburg-Wilmersdorf,6.34
2020-11-18,47,Charlottenburg-Wilmersdorf,6.14
2020-11-19,47,Charlottenburg-Wilmersdorf,5.96
2020-11-20,47,Charlottenburg-Wilmersdorf,5.76
2020-11-21,47,Charlottenburg-Wilmersdorf,5.53
2020-11-22,47,Charlottenburg-Wilmersdorf,5.45
2020-11-23,48,Charlottenburg-Wilmersdorf,5.39
2020-11-24,48,Charlottenburg-Wilmersdorf,5.23
2020-11-25,48,Charlottenburg-Wilmersdorf,5.07
2020-11-26,48,Charlottenburg-Wilmersdorf,4.92
2020-11-27,48,Charlottenburg-Wilmersdorf,4.76
2020-11-28,48,Charlottenburg-Wilmersdorf,4.56
2020-11-29,48,Charlottenburg-Wilmersdorf,4.52
2020-11-30,49,Charlottenburg-Wilmersdorf,4.5
2020-12-01,49,Charlottenburg-Wilmersdorf,4.39
2020-12-02,49,Charlottenburg-Wilmersdorf,4.27
2020-12-03,49,Charlottenburg-Wilmersdorf,4.17
2020-12-04,49,Charlottenburg-Wilmersdorf,4.06
2020-12-05,49,Charlottenburg-Wilmersdorf,3.91
2020-12-06,49,Charlottenburg-Wilmersdorf,3.91
2020-12-07,50,Charlottenburg-Wilmersdorf,3.93
2020-12-08,50,Charlottenburg-Wilmersdorf,3.86
2020-12-09,50,Charlottenburg-Wilmersdorf,3.78
2020-12-10,50,Charlottenburg-Wilmersdorf,3.71
2020-12-11,50,Charlottenburg-Wilmersdorf,3.62
2020-12-12,50,Charlottenburg-Wilmersdorf,3.49
2020-12-13,50,Charlottenburg-Wilmersdorf,3.52
2020-12-14,51,Charlottenburg-Wilmersdorf,3.55
2020-12-15,51,Charlottenburg-Wilmersdorf,3.48
2020-12-16,51,Charlottenburg-Wilmersdorf,3.4
2020-12-17,51,Charlottenburg-Wilmersdorf,3.33
2020-12-18,51,Charlottenburg-Wilmersdorf,3.23
2020-12-19,51,Charlottenburg-Wilmersdorf,3.09
2020-12-20,51,Charlottenburg-Wilmersdorf,3.11
2020-12-21,52,Charlottenburg-Wilmersdorf,3.12
2020-12-22,52,Charlottenburg-Wilmersdorf,3.04
2020-12-23,52,Charlottenburg-Wilmersdorf,2.94
2020-12-24,52,Charlottenburg-Wilmersdorf,2.85
2020-12-25,52,Charlottenburg-Wilmersdorf,2.74
2020-12-26,52,Charlottenburg-Wilmersdorf,2.58
2020-12-27,52,Charlottenburg-Wilmersdorf,2.58
2020-12-28,53,Charlottenburg-Wilmersdorf,2.59
2020-12-29,53,Charlottenburg-Wilmersdorf,2.5
2020-12-30,53,Charlottenburg-Wilmersdorf,2.4
2020-12-31,53,Charlottenburg-Wilmersdorf,2.31
2021-01-01,53,Charlottenburg-Wilmersdorf,2.2
2021-01-02,53,Charlottenburg-Wilmersdorf,2.06
2021-01-03,53,Charlottenburg-Wilmersdorf,2.08
2021-01-04,1,Charlottenburg-Wilmersdorf,2.1
2021-01-05,1,Charlottenburg-Wilmersdorf,2.04
2021-01-06,1,Charlottenburg-Wilmersdorf,1.98
2021-01-07,1,Charlottenburg-Wilmersdorf,1.93
2021-01-08,1,Charlottenburg-Wilmersdorf,1.86
2021-01-09,1,Charlottenburg-Wilmersdorf,1.77
2021-01-10,1,Charlottenburg-Wilmersdorf,1.83
2021-01-11,2,Charlottenburg-Wilmersdorf,1.91
2021-01-12,2,Charlottenburg-Wilmersdorf,1.91
2021-01-13,2,Charlottenburg-Wilmersdorf,1.89
2021-01-14,2,Charlottenburg-Wilmersdorf,1.9
2021-01-15,2,Charlottenburg-Wilmersdorf,1.89
2021-01-16,2,Charlottenburg-Wilmersdorf,1.84
2021-01-17,2,Charlottenburg-Wilmersdorf,1.96
2021-01-18,3,Charlottenburg-Wilmersdorf,2.08
2021-01-19,3,Charlottenburg-Wilmersdorf,2.12
2021-01-20,3,Charlottenburg-Wilmersdorf,2.14
2021-01-21,3,Charlottenburg-Wilmersdorf,2.17
2021-01-22,3,Charlottenburg-Wilmersdorf,2.19
2021-01-23,3,Charlottenburg-Wilmersdorf,2.16
2021-01-24,3,Charlottenburg-Wilmersdorf,2.29
2021-01-25,4,Charlottenburg-Wilmersdorf,2.42
2021-01-26,4,Charlottenburg-Wilmersdorf,2.46
2021-01-27,4,Charlottenburg-Wilmersdorf,2.47
2021-01-28,4,Charlottenburg-Wilmersdorf,2.5
2021-01-29,4,Charlottenburg-Wilmersdorf,2.5
2021-01-30,4,Charlottenburg-Wilmersdorf,2.45
2021-01-31,4,Charlottenburg-Wilmersdorf,2.56
2021-02-01,5,Charlottenburg-Wilmersdorf,2.67
2021-02-02,5,Charlottenburg-Wilmersdorf,2.68
2021-02-03,5,Charlottenburg-Wilmersdorf,2.67
2021-02-04,5,Charlottenburg-Wilmersdorf,2.67
2021-02-05,5,Charlottenburg-Wilmersdorf,2.64
2021-02-06,5,Charlottenburg-Wilmersdorf,2.58
2021-02-07,5,Charlottenburg-Wilmersdorf,2.66
2021-02-08,6,Charlottenburg-Wilmersdorf,2.76
2021-02-09,6,Charlottenburg-Wilmersdorf,2.75
2021-02-10,6,Charlottenburg-Wilmersdorf,2.74
2021-02-11,6,Charlottenburg-Wilmersdorf,2.74
2021-02-12,6,Charlottenburg-Wilmersdorf,2.72
2021-02-13,6,Charlottenburg-Wilmersdorf,2.66
2021-02-14,6,Charlottenburg-Wilmersdorf,2.76
2021-02-15,7,Charlottenburg-Wilmersdorf,2.88
2021-02-16,7,Charlottenburg-Wilmersdorf,2.9
2021-02-17,7,Charlottenburg-Wilmersdorf,2.92
2021-02-18,7,Charlottenburg-Wilmersdorf,2.96
2021-02-19,7,Charlottenburg-Wilmersdorf,2.98
2021-02-20,7,Charlottenburg-Wilmersdorf,2.98
2021-02-21,7,Charlottenburg-Wilmersdorf,3.13
2021-02-22,8,Charlottenburg-Wilmersdorf,3.3
2021-02-23,8,Charlottenburg-Wilmersdorf,3.38
2021-02-24,8,Charlottenburg-Wilmersdorf,3.46
2021-02-25,8,Charlottenburg-Wilmersdorf,3.55
2021-02-26,8,Charlottenburg-Wilmersdorf,3.63
2021-02-27,8,Charlottenburg-Wilmersdorf,3.68
2021-02-28,8,Charlottenburg-Wilmersdorf,3.89
2021-03-01,9,Charlottenburg-Wilmersdorf,4.1
2021-03-02,9,Charlottenburg-Wilmersdorf,4.23
2021-03-03,9,Charlottenburg-Wilmersdorf,4.35
2021-03-04,9,Charlottenburg-Wilmersdorf,4.49
2021-03-05,9,Charlottenburg-Wilmersdorf,4.6
2021-03-06,9,Charlottenburg-Wilmersdorf,4.68
2021-03-07,9,Charlottenburg-Wilmersdorf,4.91
2021-03-08,10,Charlottenburg-Wilmersdorf,5.15
2021-03-09,10,Charlottenburg-Wilmersdorf,5.3
2021-03-10,10,Charlottenburg-Wilmersdorf,5.43
2021-03-11,10,Charlottenburg-Wilmersdorf,5.57
2021-03-12,10,Charlottenburg-Wilmersdorf,5.68
2021-03-13,10,Charlottenburg-Wilmersdorf,5.76
2021-03-14,10,Charlottenburg-Wilmersdorf,5.99
2021-03-15,11,Charlottenburg-Wilmersdorf,6.22
2021-03-16,11,Charlottenburg-Wilmersdorf,6.35
2021-03-17,11,Charlottenburg-Wilmersdorf,6.47
2021-03-18,11,Charlottenburg-Wilmersdorf,6.59
2021-03-19,11,Charlottenburg-Wilmersdorf,6.7
2021-03-20,11,Charlottenburg-Wilmersdorf,6.76
2021-03-21,11,Charlottenburg-Wilmersdorf,6.97
2021-03-22,12,Charlottenburg-Wilmersdorf,7.19
2021-03-23,12,Charlottenburg-Wilmersdorf,7.31
2021-03-24,12,Charlottenburg-Wilmersdorf,7.42
2021-03-25,12,Charlottenburg-Wilmersdorf,7.53
2021-03-26,12,Charlottenburg-Wilmersdorf,7.63
2021-03-27,12,Charlottenburg-Wilmersdorf,7.69
2021-03-28,12,Charlottenburg-Wilmersdorf,7.91
2021-03-29,13,Charlottenburg-Wilmersdorf,8.13
2021-03-30,13,Charlottenburg-Wilmersdorf,8.26
2021-03-31,13,Charlottenburg-Wilmersdorf,8.37
2021-04-01,13,Charlottenburg-Wilmersdorf,8.5
2021-04-02,13,Charlottenburg-Wilmersdorf,8.62
2021-04-03,13,Charlottenburg-Wilmersdorf,8.69
2021-04-04,13,Charlottenburg-Wilmersdorf,8.93
2021-04-05,14,Charlottenburg-Wilmersdorf,9.17
2021-04-06,14,Charlottenburg-Wilmersdorf,9.32
2021-04-07,14,Charlottenburg-Wilmersdorf,9.46
2021-04-08,14,Charlottenburg-Wilmersdorf,9.62
2021-04-09,14,Charlottenburg-Wilmersdorf,9.75
2021-04-10,14,Charlottenburg-Wilmersdorf,9.85
2021-04-11,14,Charlottenburg-Wilmersdorf,10.11
2021-04-12,15,Charlottenburg-Wilmersdorf,10.37
2021-04-13,15,Charlottenburg-Wilmersdorf,10.55
2021-04-14,15,Charlottenburg-Wilmersdorf,10.71
2021-04-15,15,Charlottenburg-Wilmersdorf,10.88
2021-04-16,15,Charlottenburg-Wilmersdorf,11.03
2021-04-17,15,Charlottenburg-Wilmersdorf,11.15
2021-04-18,15,Charlottenburg-Wilmersdorf,11.42
2021-04-19,16,Charlottenburg-Wilmersdorf,11.69
2021-04-20,16,Charlottenburg-Wilmersdorf,11.87
2021-04-21,16,Charlottenburg-Wilmersdorf,12.04
2021-04-22,16,Charlottenburg-Wilmersdorf,12.21
2021-04-23,16,Charlottenburg-Wilmersdorf,12.37
2021-04-24,16,Charlottenburg-Wilmersdorf,12.48
2021-04-25,16,Charlottenburg-Wilmersdorf,12.74
2021-04-26,17,Charlottenburg-Wilmersdorf,13.01
2021-04-27,17,Charlottenburg-Wilmersdorf,13.18
2021-04-28,17,Charlottenburg-Wilmersdorf,13.34
2021-04-29,17,Charlottenburg-Wilmersdorf,13.5
2021-04-30,17,Charlottenburg-Wilmersdorf,13.64
2021-05-01,17,Charlottenburg-Wilmersdorf,13.74
2021-05-02,17,Charlottenburg-Wilmersdorf,13.99
2021-05-03,18,Charlottenburg-Wilmersdorf,14.24
2021-05-04,18,Charlottenburg-Wilmersdorf,14.4
2021-05-05,18,Charlottenburg-Wilmersdorf,14.53
2021-05-06,18,Charlottenburg-Wilmersdorf,14.68
2021-05-07,18,Charlottenburg-Wilmersdorf,14.8
2021-05-08,18,Charlottenburg-Wilmersdorf,14.87
2021-05-09,18,Charlottenburg-Wilmersdorf,15.1
2021-05-10,19,Charlottenburg-Wilmersdorf,15.33
2021-05-11,19,Charlottenburg-Wilmersdorf,15.47
2021-05-12,19,Charlottenburg-Wilmersdorf,15.58
2021-05-13,19,Charlottenburg-Wilmersdorf,15.7
2021-05-14,19,Charlottenburg-Wilmersdorf,15.8
2021-05-15,19,Charlottenburg-Wilmersdorf,15.86
2021-05-16,19,Charlottenburg-Wilmersdorf,16.07
2021-05-17,20,Charlottenburg-Wilmersdorf,16.29
2021-05-18,20,Charlottenburg-Wilmersdorf,16.4
2021-05-19,20,Charlottenburg-Wilmersdorf,16.5
2021-05-20,20,Charlottenburg-Wilmersdorf,16.61
2021-05-21,20,Charlottenburg-Wilmersdorf,16.7
2021-05-22,20,Charlottenburg-Wilmersdorf,16.75
2021-05-23,20,Charlottenburg-Wilmersdorf,16.94
2021-05-24,21,Charlottenburg-Wilmersdorf,17.14
2021-05-25,21,Charlottenburg-Wilmersdorf,17.25
2021-05-26,21,Charlottenburg-Wilmersdorf,17.34
